feature,mean_positive_shap
cat__dst_community_id_89,0.0012329137029238018
num__src_in_degree_centrality,0.0009869631484031973
cat__src_community_id_57,0.0009582650920291225
cat__src_community_id_1,0.0009472009025956839
num__is_weekend,0.0009163693050513903
cat__src_community_id_37,0.0008562437970505423
cat__src_community_id_76,0.0008152208545738525
cat__dst_community_id_44,0.0007195220344725006
cat__dst_community_id_37,0.0006888468665926849
num__same_community,0.0003504976690484381
cat__src_community_id_10,0.00033914263813122566
cat__dst_community_id_82,0.00033212846163589303
cat__dst_community_id_60,0.0002573586911510785
cat__src_community_id_22,0.00025056963690074375
cat__dst_community_id_75,0.00023285153538360443
cat__dst_community_id_11,0.00021747416153012234
cat__dst_community_id_2,0.00017289891422390448
cat__src_community_id_82,0.00014692237083589616
cat__dst_community_id_1,0.00014461732166520807
cat__src_community_id_60,0.00014122399933509986
cat__src_community_id_38,0.00010178294317479442
cat__dst_community_id_0,9.260195303255286e-05
cat__dst_community_id_58,5.273074456583296e-05
cat__src_community_id_28,4.537744491075445e-05
cat__dst_community_id_53,4.2715485704296674e-05
cat__dst_community_id_93,2.4938233949058027e-05
cat__src_community_id_53,1.985251073746029e-05
cat__src_community_id_93,1.896224179799178e-05
cat__src_community_id_9,1.8806871293448464e-05
cat__dst_community_id_38,1.2795172108838314e-05
cat__src_community_id_15,1.2719449952120545e-05
cat__dst_community_id_52,7.3383683631950205e-06
cat__dst_community_id_9,6.634332689420375e-06
cat__src_community_id_33,3.4158040390322215e-06
cat__dst_community_id_48,0.0
cat__dst_community_id_49,0.0
cat__dst_community_id_50,0.0
cat__dst_community_id_51,0.0
cat__dst_community_id_42,0.0
cat__dst_community_id_43,0.0
cat__dst_community_id_39,0.0
cat__dst_community_id_40,0.0
cat__dst_community_id_41,0.0
cat__src_community_id_12,0.0
cat__src_community_id_13,0.0
cat__dst_community_id_33,0.0
cat__dst_community_id_35,0.0
cat__dst_community_id_36,0.0
cat__src_community_id_0,0.0
cat__src_community_id_2,0.0
cat__src_community_id_5,0.0
cat__src_community_id_6,0.0
cat__dst_community_id_47,0.0
cat__dst_community_id_46,0.0
cat__dst_community_id_72,0.0
cat__dst_community_id_71,0.0
cat__dst_community_id_70,0.0
cat__dst_community_id_69,0.0
cat__dst_community_id_63,0.0
cat__dst_community_id_64,0.0
cat__dst_community_id_57,0.0
cat__dst_community_id_59,0.0
cat__dst_community_id_56,0.0
cat__dst_community_id_54,0.0
cat__dst_community_id_90,0.0
cat__dst_community_id_87,0.0
cat__dst_community_id_86,0.0
cat__dst_community_id_85,0.0
cat__dst_community_id_84,0.0
cat__dst_community_id_83,0.0
cat__dst_community_id_92,0.0
cat__dst_community_id_91,0.0
cat__dst_community_id_23,0.0
cat__dst_community_id_24,0.0
cat__dst_community_id_25,0.0
cat__dst_community_id_18,0.0
cat__dst_community_id_19,0.0
cat__dst_community_id_20,0.0
cat__dst_community_id_21,0.0
cat__dst_community_id_22,0.0
cat__dst_community_id_30,0.0
cat__dst_community_id_29,0.0
cat__dst_community_id_28,0.0
cat__dst_community_id_27,0.0
cat__dst_community_id_77,0.0
cat__dst_community_id_78,0.0
cat__dst_community_id_79,0.0
cat__dst_community_id_73,0.0
cat__dst_community_id_80,0.0
cat__dst_community_id_81,0.0
cat__dst_community_id_65,0.0
cat__dst_community_id_66,0.0
cat__dst_community_id_67,0.0
cat__dst_community_id_68,0.0
cat__dst_community_id_61,0.0
cat__dst_community_id_62,0.0
cat__src_community_id_80,0.0
cat__dst_community_id_16,0.0
cat__dst_community_id_15,0.0
cat__dst_community_id_14,0.0
cat__dst_community_id_12,0.0
cat__dst_community_id_13,0.0
cat__dst_community_id_8,0.0
cat__dst_community_id_10,0.0
cat__dst_community_id_32,0.0
cat__dst_community_id_5,0.0
cat__dst_community_id_6,0.0
cat__dst_community_id_26,0.0
cat__src_community_id_90,0.0
cat__src_community_id_86,0.0
cat__src_community_id_85,0.0
cat__src_community_id_81,0.0
cat__src_community_id_67,0.0
cat__src_community_id_66,0.0
cat__src_community_id_70,0.0
cat__src_community_id_68,0.0
cat__src_community_id_71,0.0
cat__src_community_id_72,0.0
cat__src_community_id_73,0.0
cat__src_community_id_69,0.0
cat__src_community_id_77,0.0
cat__src_community_id_87,0.0
cat__src_community_id_91,0.0
cat__src_community_id_63,0.0
cat__src_community_id_64,0.0
cat__src_community_id_65,0.0
cat__src_community_id_83,0.0
cat__src_community_id_84,0.0
cat__src_community_id_51,0.0
cat__src_community_id_50,0.0
cat__src_community_id_49,0.0
cat__src_community_id_48,0.0
cat__src_community_id_46,0.0
cat__src_community_id_47,0.0
cat__src_community_id_78,0.0
cat__src_community_id_61,0.0
cat__src_community_id_32,0.0
cat__src_community_id_30,0.0
cat__src_community_id_62,0.0
cat__src_community_id_35,0.0
cat__src_community_id_36,0.0
cat__src_community_id_54,0.0
cat__src_community_id_56,0.0
cat__src_community_id_59,0.0
cat__src_community_id_42,0.0
cat__src_community_id_40,0.0
cat__src_community_id_39,0.0
cat__src_community_id_43,0.0
cat__src_community_id_18,0.0
cat__src_community_id_19,0.0
cat__src_community_id_14,0.0
cat__src_community_id_16,0.0
cat__src_community_id_21,0.0
cat__src_community_id_20,0.0
cat__src_community_id_24,0.0
cat__src_community_id_23,0.0
cat__src_community_id_25,0.0
cat__src_community_id_26,0.0
cat__src_community_id_27,0.0
cat__src_community_id_29,0.0
